Date,CampaignID,Impressions,Reach,Spend_IDR
2024-01-01,TV_001,1597990,1245789,14507143
2024-01-02,TV_001,587125,504841,6559945
2024-01-03,TV_001,530876,472996,12080725
2024-01-05,TV_001,775106,535810,6818249
2024-01-06,TV_001,1077370,844179,11183340
2024-01-07,TV_001,1206974,889323,9505735
2024-01-09,TV_001,1388621,852523,10142344
2024-01-10,TV_001,597577,528656,6705241
2024-01-13,TV_001,1755301,1284961,7172065
2024-01-14,TV_001,634320,553632,11942122
2024-01-15,TV_001,967566,731500,11625222
2024-01-16,TV_001,1954376,1627096,6848544
2024-01-19,TV_001,632738,416845,14218742
2024-01-20,TV_001,1245468,848667,9903963
2024-01-22,TV_001,1314044,843980,7809345
2024-01-24,TV_001,1658367,1093883,14868869
2024-01-25,TV_001,1560286,1277409,13154614
2024-01-27,TV_001,774874,665563,10301588
2024-01-28,TV_001,684638,474656,9970776
2024-01-29,TV_001,1456336,1261425,12296061
2024-01-30,TV_001,1569867,1300219,6195942
2024-01-31,TV_001,1240693,938981,12709671
2024-02-01,TV_001,661837,403342,5254191
2024-02-02,TV_001,1262856,1101551,8143559
2024-02-03,TV_001,1878325,1255922,10924595
2024-02-04,TV_001,853106,749803,9477017
2024-02-06,TV_001,1705508,1118763,13714605
2024-02-08,TV_001,1844136,1282414,13074401
2024-02-09,TV_001,1140661,964320,7279351
2024-02-11,TV_001,1295033,863311,12128967
2024-02-12,TV_001,1914364,1334237,8376151
2024-02-13,TV_001,1045444,932049,12030189
2024-02-15,TV_001,951317,652082,9972485
2024-02-16,TV_001,1254018,771777,11095643
2024-02-17,TV_001,988244,635904,16899190
2024-02-18,TV_001,992545,795664,17827805
2024-02-20,TV_001,1051674,830498,12282163
2024-02-21,TV_001,635434,540494,10357746
2024-02-22,TV_001,561162,436173,6865185
2024-02-23,TV_001,1268139,847052,5165878
2024-02-24,TV_001,1766867,1265113,8092397
2024-02-26,TV_001,670210,588047,8410663
2024-02-28,TV_001,1725833,1322955,11599840
2024-02-29,TV_001,639654,555964,7418522
2024-03-02,TV_001,1177386,962851,10068357
2024-03-06,TV_001,742443,645603,5841399
2024-03-07,TV_001,652207,521146,5091970
2024-03-08,TV_001,1323100,1068494,6608080
2024-03-09,TV_001,1803509,1210469,8691231
2024-03-10,TV_001,1695616,1449357,14957896
2024-03-11,TV_001,640512,454965,10683086
2024-03-12,TV_001,1959515,1406793,7439896
2024-03-14,TV_001,1253955,969396,12948113
2024-03-15,TV_001,1583678,1083602,6952429
2024-03-16,TV_001,880515,776736,13745667
2024-03-19,TV_001,1892477,1378585,5154566
2024-03-23,TV_001,2043210,1420187,10621172
2024-03-24,TV_001,2189866,1771183,12681615
2024-03-25,TV_001,1422510,1276015,5971764
2024-03-26,TV_001,1816059,1493219,10183296
2024-03-27,TV_001,1039236,715075,12024840
2024-04-01,TV_001,1697442,1349448,10015162
2024-04-05,TV_001,640972,495782,8755829
2024-04-06,TV_001,1511061,1036531,11587176
2024-04-07,TV_001,639425,541452,6366002
2024-04-08,TV_001,1283364,1066473,6270605
2024-04-09,TV_001,628021,386549,11228904
2024-04-10,TV_001,1456144,1190875,10406351
2024-04-12,TV_001,1692779,1153205,8229564
2024-04-13,TV_001,618730,549923,6941476
2024-04-15,TV_001,759941,491629,9089529
2024-04-16,TV_001,1571893,1254464,10492266
2024-04-17,TV_001,1606845,1231335,14548652
2024-04-18,TV_001,871596,616037,9196000
2024-04-20,TV_001,654354,400608,7392871
2024-04-23,TV_001,1237423,918219,5978341
2024-04-24,TV_001,1097757,861470,9338516
2024-04-25,TV_001,1061918,836535,5453040
2024-04-26,TV_001,1488040,965560,13564898
2024-04-27,TV_001,620732,481522,13709031
2024-04-29,TV_001,1464932,1080352,8881699
2024-04-30,TV_001,1079153,958674,14414648
2024-05-02,TV_001,651167,394259,5693613
2024-05-03,TV_001,606782,422134,11830067
2024-05-05,TV_001,1061199,674338,15773621
2024-05-06,TV_001,1816208,1490237,11289428
2024-05-08,TV_001,1625922,1369108,6774395
2024-05-10,TV_001,1664619,1168964,8720180
2024-05-13,TV_001,1631814,1029572,12508710
2024-05-15,TV_001,980074,851348,13264574
2024-05-16,TV_001,1858072,1165728,5108376
2024-05-17,TV_001,1925910,1486863,14500619
2024-05-18,TV_001,1080788,755038,11381346
2024-05-19,TV_001,1940473,1623954,15028494
2024-05-20,TV_001,586338,448465,9944203
2024-05-21,TV_001,1026372,651869,13877041
2024-05-22,TV_001,1427327,899696,12615106
2024-05-23,TV_001,609144,515676,12009691
2024-05-25,TV_001,2276953,1621831,7018052
2024-05-26,TV_001,2209003,1978826,15753594
2024-05-28,TV_001,1665720,1278475,5835007
2024-05-29,TV_001,666796,498621,14063543
2024-05-30,TV_001,584454,371506,9686606
2024-05-31,TV_001,1619067,1254794,11492103
2024-06-02,TV_001,2073333,1383076,9428545
2024-06-04,TV_001,564739,489823,14698788
2024-06-05,TV_001,610694,467887,14929647
2024-06-07,TV_001,1543623,1136665,11293986
2024-06-08,TV_001,2129497,1306731,13011771
2024-06-09,TV_001,2110705,1554950,17404937
2024-06-10,TV_001,782181,578117,7773811
2024-06-11,TV_001,616601,550205,10836561
2024-06-13,TV_001,964291,813995,10360963
2024-06-14,TV_001,1866390,1580387,6626169
2024-06-17,TV_001,1899092,1632876,9182430
2024-06-18,TV_001,1064695,897714,5263669
2024-06-20,TV_001,1071336,954533,10941307
2024-06-23,TV_001,1046627,645677,10977834
2024-06-28,TV_001,1917148,1638959,12689874
2024-06-29,TV_001,797799,707022,11406529
2024-06-30,TV_001,1733683,1361701,8743713
2024-07-01,TV_001,1507359,1139703,6135575
2024-07-03,TV_001,1327860,1020170,13521815
2024-07-05,TV_001,543174,448955,6340152
2024-07-06,TV_001,942363,603971,14448957
2024-07-07,TV_001,1592608,1142972,10207050
2024-07-08,TV_001,1022383,771078,14041586
2024-07-10,TV_001,1793545,1587029,11220867
2024-07-11,TV_001,1238174,838830,14265876
2024-07-12,TV_001,1238927,865546,14800325
2024-07-13,TV_001,705864,450810,8881747
2024-07-14,TV_001,814476,645279,7822832
2024-07-15,TV_001,1845182,1369473,8456672
2024-07-16,TV_001,788433,482726,6723198
2024-07-17,TV_001,765515,479680,7785903
2024-07-18,TV_001,809500,574163,9607787
2024-07-19,TV_001,558968,469434,11903948
2024-07-20,TV_001,2081923,1824309,6981108
2024-07-21,TV_001,1965697,1620673,9322531
2024-07-22,TV_001,1055708,786879,7093493
2024-07-23,TV_001,1193802,983980,8689136
2024-07-24,TV_001,1570024,1363663,7524369
2024-07-25,TV_001,660758,485144,10321134
2024-07-26,TV_001,903864,644623,7424705
2024-07-27,TV_001,939747,656178,9864949
2024-07-28,TV_001,1598946,1285122,16686327
2024-07-30,TV_001,1305659,1013260,5869202
2024-08-01,TV_001,925663,656225,6275803
2024-08-02,TV_001,1034145,926547,10707783
2024-08-03,TV_001,750574,484764,8846721
2024-08-04,TV_001,896828,614801,7928176
2024-08-05,TV_001,620350,469824,13967654
2024-08-06,TV_001,668058,480572,14823786
2024-08-10,TV_001,1728409,1518948,8050651
2024-08-11,TV_001,1057963,879007,12859352
2024-08-12,TV_001,1138154,856214,8236792
2024-08-13,TV_001,1415930,972162,6148368
2024-08-14,TV_001,1221710,928227,6543627
2024-08-15,TV_001,701622,434312,8366042
2024-08-17,TV_001,1014255,815918,15718493
2024-08-19,TV_001,1117761,787642,9715761
2024-08-23,TV_001,1907510,1248217,12308674
2024-08-24,TV_001,1565966,1335062,14893447
